MSOAcode,MSOAName,Population,PopDensity,Age16_29%,BAME%,Householdspaces_no_usualresidents,Household_Income,House_Price
E02000231,Croydon 038,"7,701",23,16.2706,32.5,0.278753601,4.821513528,5.810754568
E02000232,Croydon 039,"6,315",14,14.9802,17,0.113943352,4.731588765,5.636648345
E02000233,Croydon 040,"6,297",40,15.5153,24.7,0.322219295,4.737987326,5.576587803
E02000234,Croydon 041,"8,537",27,15.4738,26.3,0.397940009,4.7355989,5.552961296
E02000235,Croydon 042,"7,145",13,15.0735,18.7,0.342422681,4.787460475,5.6230714
E02000236,Croydon 043,"7,853",22,14.1984,15.9,0.146128036,4.79518459,5.605904885
E02000237,Croydon 044,"7,674",16,13.2395,14,0.255272505,4.731588765,5.600357481
E02006788,Croydon 045,"7,660",55,17.7154,49.8,0.204119983,4.624282096,5.488281314
E02000238,Ealing 001,"9,723",64,17.474,52.3,0.397940009,4.682145076,5.507291732
E02000239,Ealing 002,"9,002",38,18.7292,58.4,0.342422681,4.725094521,5.575488051
E02000240,Ealing 003,"10,213",59,16.8413,52.8,0.342422681,4.643452676,5.477092301
E02000241,Ealing 004,"6,794",52,18.0159,48.8,0.414973348,4.681241237,5.528522058
E02000242,Ealing 005,"7,019",79,19.49,63.6,0.361727836,4.697229343,5.603794786
E02000243,Ealing 006,"8,646",30,17.5688,51,0.397940009,4.658011397,5.497063788
E02000244,Ealing 007,"7,440",41,16.0484,46.1,0.431363764,4.689308859,5.59778401
E02000245,Ealing 008,"8,673",52,17.9869,56.5,0.146128036,4.598790507,5.375934164
E02000246,Ealing 009,"8,801",43,18.407,54.5,0.255272505,4.648360011,5.490452928
E02000247,Ealing 010,"10,411",74,16.9724,57.8,0.447158031,4.669316881,5.431405583
E02000248,Ealing 011,"7,584",44,19.4884,47,0.505149978,4.688419822,5.691669293
E02000249,Ealing 012,"7,694",60,18.144,55,0.544068044,4.656098202,5.558366519
E02000250,Ealing 013,"6,406",64,12.7381,24.2,0.255272505,4.814247596,5.848826846
E02000251,Ealing 014,"7,730",82,18.3959,72.1,0.414973348,4.687528961,5.538900337
E02000252,Ealing 015,"10,772",34,29.6695,51.2,0.544068044,4.574031268,5.573548064
E02000253,Ealing 016,"9,324",81,15.9374,45.3,0.301029996,4.629409599,5.580409444
E02000254,Ealing 017,"8,695",84,18.4014,87.4,0.491361694,4.678518379,5.46457151
E02000255,Ealing 018,"9,165",59,16.7594,38.5,0.397940009,4.737987326,5.767225645
E02000256,Ealing 019,"8,809",80,19.1849,30.8,0.568201724,4.781036939,5.82859159
E02000257,Ealing 020,"13,763",63,20.3371,37.3,0.579783597,4.781755375,5.805005793
E02000258,Ealing 021,"7,027",68,21.3605,41.1,0.556302501,4.73239376,5.807867724
E02000259,Ealing 022,"6,136",48,16.2484,30.7,0.342422681,4.737192643,5.713826424
E02000260,Ealing 023,"9,161",84,17.5963,90.4,0.851258349,4.666517981,5.461504529
E02000261,Ealing 024,"11,795",90,24.5189,49.1,0.62324929,4.641474111,5.746487074
E02000262,Ealing 025,"9,227",131,20.0932,37.2,0.544068044,4.675778342,5.755727018
E02000263,Ealing 026,"12,152",98,17.8489,93.9,0.792391689,4.658964843,5.449657326
E02000264,Ealing 027,"8,305",58,22.5045,33.4,0.62324929,4.766412847,5.864961161
E02000265,Ealing 028,"10,835",107,17.8126,38.3,0.491361694,4.710963119,5.720655357
E02000266,Ealing 029,"11,640",30,19.8368,77.3,0.462397998,4.59439255,5.479488932
E02000267,Ealing 030,"7,273",96,15.1519,28.7,0.544068044,4.717670503,5.685507963
E02000268,Ealing 031,"8,990",68,17.931,26.9,0.380211242,4.765668555,5.804702219
E02000269,Ealing 032,"8,058",91,16.4061,23.4,0.462397998,4.816903839,5.844260907
E02000270,Ealing 033,"7,910",99,17.8508,52,0.397940009,4.633468456,5.677768415
E02000271,Ealing 034,"6,665",89,15.1238,17.2,0.602059991,4.840106094,5.999409392
E02000272,Ealing 035,"6,481",54,14.5194,25.9,0.301029996,4.786751422,5.808242716
E02000274,Ealing 037,"13,961",97,19.4972,91.6,0.792391689,4.635483747,5.41764106
E02000275,Ealing 038,"7,483",64,17.5999,83,0.672097858,4.660865478,5.697751403
E02000276,Ealing 039,"6,557",78,17.5995,24.4,0.505149978,4.810232518,5.730164299
E02006791,Ealing 040,"6,739",98,16.5455,24.3,0.662757832,4.80140371,5.848112724
E02000277,Enfield 001,"7,449",71,20.3651,35.1,0.342422681,4.651278014,5.441360451
E02000278,Enfield 002,"9,578",73,19.7014,39.1,0.278753601,4.618048097,5.435449373
E02000279,Enfield 003,"12,484",48,20.29,48.2,0.146128036,4.645422269,5.38110244
E02000280,Enfield 004,"8,562",6,15.1016,17.9,0.361727836,4.699837726,5.618634783
E02000281,Enfield 005,"8,976",47,17.5468,31.8,0.113943352,4.64738297,5.470013358
E02000282,Enfield 006,"9,494",75,19.2227,42.8,0.322219295,4.57054294,5.353450735
E02000283,Enfield 007,"8,652",76,20.7813,39.6,0.230448921,4.621176282,5.462036934
E02000284,Enfield 008,"8,509",66,15.9243,18.8,0.579783597,4.716837723,5.534555318
E02000285,Enfield 009,"6,551",67,15.8754,17.5,0.342422681,4.746634199,5.621393375
E02000286,Enfield 010,"8,514",42,14.1414,19.2,0.556302501,4.711807229,5.604578099
E02000287,Enfield 011,"6,922",8,17.3071,23.7,0.462397998,4.780317312,5.952744508
E02000288,Enfield 012,"10,771",51,20.1745,49.3,0.301029996,4.641474111,5.439436912
E02000289,Enfield 013,"6,591",19,15.6274,23,0.342422681,4.748188027,5.788653322
E02000290,Enfield 014,"7,014",14,20.0171,54.8,0.113943352,4.587710965,5.39854933
E02000291,Enfield 015,"9,774",84,17.9865,29.8,0.568201724,4.668385917,5.526278524
E02000292,Enfield 016,"9,875",53,18.8456,33.3,0.301029996,4.683047038,5.516207381
E02000293,Enfield 017,"6,479",30,14.9406,19.1,0.301029996,4.786751422,5.736755742
E02000294,Enfield 018,"9,297",62,19.9849,51,0.301029996,4.63447727,5.475188694
E02000295,Enfield 019,"8,828",54,16.0512,30.6,0.361727836,4.719331287,5.669501905
E02000296,Enfield 020,"10,096",56,19.374,31.5,0.477121255,4.654176542,5.579785882
E02000297,Enfield 021,"9,668",60,17.7389,24.9,0.342422681,4.725094521,5.625149817
E02000298,Enfield 022,"8,217",41,15.2732,19.3,0.301029996,4.791690649,5.855859432
E02000299,Enfield 023,"9,792",112,19.0768,59.3,0.113943352,4.631443769,5.4334626
